sexe;preusuel;annais;dpt;nombre
2;ALEYNA;1999;57;3
2;ALEYNA;1999;67;7
2;ALEYNA;1999;69;4
2;ALEYNA;1999;74;4
2;ALEYNA;1999;90;4
2;ALEYNA;1999;95;3
2;ALEYNA;2000;01;3
2;ALEYNA;2000;25;3
2;ALEYNA;2000;26;3
2;ALEYNA;2000;51;3
2;ALEYNA;2000;57;4
2;ALEYNA;2000;59;5
2;ALEYNA;2000;67;8
2;ALEYNA;2000;68;5
2;ALEYNA;2000;69;6
2;ALEYNA;2000;74;4
2;ALEYNA;2000;76;3
2;ALEYNA;2000;88;3
2;ALEYNA;2001;25;4
2;ALEYNA;2001;38;5
2;ALEYNA;2001;42;7
2;ALEYNA;2001;45;3
2;ALEYNA;2001;49;3
2;ALEYNA;2001;57;5
2;ALEYNA;2001;60;4
2;ALEYNA;2001;61;3
2;ALEYNA;2001;63;3
2;ALEYNA;2001;67;8
2;ALEYNA;2001;69;8
2;ALEYNA;2001;74;3
2;ALEYNA;2001;78;3
2;ALEYNA;2001;88;3
2;ALEYNA;2001;93;5
2;ALEYNA;2001;94;3
2;ALEYNA;2001;95;4
2;ALEYNA;2002;01;3
2;ALEYNA;2002;02;3
2;ALEYNA;2002;38;6
2;ALEYNA;2002;41;3
2;ALEYNA;2002;42;4
2;ALEYNA;2002;45;3
2;ALEYNA;2002;56;3
2;ALEYNA;2002;57;4
2;ALEYNA;2002;61;3
2;ALEYNA;2002;63;3
2;ALEYNA;2002;67;8
2;ALEYNA;2002;68;7
2;ALEYNA;2002;69;6
2;ALEYNA;2002;74;7
2;ALEYNA;2002;91;3
2;ALEYNA;2002;93;3
2;ALEYNA;2002;95;4
2;ALEYNA;2003;01;4
2;ALEYNA;2003;25;5
2;ALEYNA;2003;33;5
2;ALEYNA;2003;34;4
2;ALEYNA;2003;38;4
2;ALEYNA;2003;39;5
2;ALEYNA;2003;41;5
2;ALEYNA;2003;42;7
2;ALEYNA;2003;45;4
2;ALEYNA;2003;49;3
2;ALEYNA;2003;54;4
2;ALEYNA;2003;57;7
2;ALEYNA;2003;63;3
2;ALEYNA;2003;67;12
2;ALEYNA;2003;68;12
2;ALEYNA;2003;69;5
2;ALEYNA;2003;72;3
2;ALEYNA;2003;74;7
